,english,tamil
2476,planes,விமானங்கள்
2477,keys,விசைகள்
2478,formal,முறையான
2479,intelligence,புலனாய்வு
2480,calculated,கணக்கிடப்படுகிறது
2481,receiving,பெறும்
2482,experiments,சோதனைகள்
2483,abc,ABC
2484,express,வெளிப்படுத்த
2485,revenue,வருவாய்
2486,yields,விளைச்சல்
2487,happy,சந்தோஷமாக
2488,section,பிரிவில்
2489,blamed,குற்றம் சாட்டினார்
2490,moslem,இஸ்லாமிய மதம் சார்ந்த
2491,brief,சுருக்கமான
2492,word,சொல்
2493,crowd,கூட்டத்தில்
2494,resulted,விளைவாக
2495,deliver,வழங்க
2496,gen,ஜென்
2497,delivered,வழங்கினார்
2498,purchases,கொள்முதல்
2499,supporters,ஆதரவாளர்கள்
2500,rival,போட்டி
2501,typically,பொதுவாக
2502,involves,ஈடுபடுத்துகிறது
2503,monitors,திரைகள்
2504,introduction,அறிமுகம்
2505,layer,அடுக்கு
2506,net,நிகர
2507,west,மேற்கு
2508,bay,விரிகுடா
2509,improvements,மேம்பாடுகளை
2510,boxes,பெட்டிகள்
2511,advanced,மேம்பட்ட
2512,disclosed,வெளிப்படுத்தின
2513,four,நான்கு
2514,regulation,கட்டுப்பாட்டு
2515,tom,டாம்
2516,streets,தெருக்களில்
2517,scientists,விஞ்ஞானிகள்
2518,boeing,போயிங்
2519,permit,அனுமதி
2520,helping,உதவி
2521,coverage,கவரேஜ்
2522,hall,மண்டபம்
2523,ip,ஐபி
2524,minority,சிறுபான்மை
2525,languages,மொழிகளை
2526,produces,தயாரிக்கிறது
2527,attorney,வழக்கறிஞர்
2528,volume,தொகுதி
2529,holders,வைத்திருப்பவர்கள்
2530,consulting,ஆலோசனை
2531,fund,நிதி
2532,electric,மின்சார
2533,draft,வரைவு
2534,company,நிறுவனம்
2535,trust,நம்பிக்கை
2536,string,சரம்
2537,fairly,மிகவும்
2538,cold,குளிர்
2539,mark,குறி
2540,scene,காட்சி
2541,researchers,ஆராய்ச்சியாளர்கள்
2542,margin,விளிம்பு
2543,pension,ஓய்வூதிய
2544,multimedia,மல்டிமீடியா
2545,proved,நிரூபித்தது
2546,fears,பயங்கள்
2547,backed,ஆதரவில் செயல்படும்
2548,margins,ஓரங்கள்
2549,star,நட்சத்திர
2550,seconds,விநாடிகள்
2551,advantages,நன்மைகள்
2552,operators,ஆபரேட்டர்கள்
2553,bureau,பீரோ
2554,pattern,முறை
2555,wind,காற்று
2556,severe,கடுமையான
2557,testimony,சாட்சியம்
2558,panama,பனாமா
2559,motion,இயக்கம்
2560,ranging,வரை
2561,raising,திரட்டும்
2562,australia,ஆஸ்திரேலியா
2563,strongly,கடுமையாக
2564,square,சதுர
2565,revised,திருத்தப்பட்ட
2566,injuries,காயங்கள்
2567,thinking,நினைத்து
2568,stable,நிலையான
2569,gold,தங்கம்
2570,community,சமூகத்தில்
2571,recorded,பதிவு
2572,sending,அனுப்பும்
2573,usual,வழக்கமான
2574,route,பாதை
2575,part,பகுதியாக
2576,sentence,தண்டனை
2577,affairs,விவகாரங்களில்
2578,shortly,விரைவில்
2579,economist,பொருளாதார
2580,aware,விழிப்புடன்
2581,carrier,கேரியர்
2582,discussion,விவாதம்
2583,draw,வரைய
2584,detail,விவரம்
2585,retired,ஓய்வுபெற்ற
2586,battery,பேட்டரி
2587,calculations,கணக்கீடுகள்
2588,kennedy,கென்னடி
2589,element,உறுப்பு
2590,heating,வெப்பமூட்டும்
2591,poll,கருத்து கணிப்பு
2592,unusual,அசாதாரண
2593,poland,போலந்து
2594,aspects,அம்சங்கள்
2595,purposes,நோக்கங்களுக்காக
2596,relief,நிவாரண
2597,consistent,சீரான
2598,russian,ரஷியன்
2599,learning,கற்றல்
2600,understanding,புரிதல்
2601,sample,மாதிரி
2602,mine,என்னுடையது
2603,neither,எந்த
2604,guard,பாதுகாப்பு
2605,bomb,குண்டு
2606,india,இந்தியாவில்
2607,do,செய்
2608,representatives,பிரதிநிதிகள்
2609,time,நேரம்
2610,representing,குறிக்கும்
2611,clean,சுத்தமான
2612,allegations,குற்றச்சாட்டுக்கள்
2613,merrill,மெர்ரில்
2614,interim,இடைக்கால
2615,ends,முனைகளிலும்
2616,bases,தளங்கள்
2617,array,வரிசை
2618,temperatures,வெப்பநிலை
2619,slots,இடங்கள்
2620,plastic,பிளாஸ்டிக்
2621,factory,தொழிற்சாலை
2622,opportunities,வாய்ப்புகளை
2623,bringing,கொண்டு
2624,miami,மியாமி
2625,transportation,போக்குவரத்து
2626,compression,சுருக்க
2627,serving,பரிமாறும்
2628,caught,பிடித்து
2629,exist,உள்ளன
2630,cocaine,கோகோயின்
2631,worse,மோசமாக
2632,resistance,எதிர்ப்பு
2633,acting,நடிப்பு
2634,award,விருது
2635,define,வரையறுக்க
2636,observers,பார்வையாளர்கள்
2637,editing,எடிட்டிங்
2638,tend,முனைகின்றன
2639,normally,பொதுவாக
2640,satellite,செயற்கைக்கோள்
2641,born,குடியில் பிறந்த
2642,ministers,அமைச்சர்கள்
2643,noriega,நொரீகாவை
2644,requirement,தேவை
2645,developments,அபிவிருத்திகள்
2646,dealing,கையாளும்
2647,parliament,பாராளுமன்றத்தில்
2648,ads,விளம்பரங்கள்
2649,effectively,திறம்பட
2650,modern,நவீன
2651,science,அறிவியல்
2652,built-in,உள்ளமைக்கப்பட்ட
2653,release,வெளியீடு
2654,coalition,கூட்டணி
2655,papers,ஆவணங்கள்
2656,church,தேவாலயத்தில்
2657,starts,துவங்குகிறது
2658,extent,அளவிற்கு
2659,amendment,திருத்தத்தை
2660,watch,பார்க்க
2661,crop,பயிர்
2662,dedicated,அர்ப்பணிப்பு
2663,liquid,திரவ
2664,examined,ஆய்வு
2665,her,அவளை
2666,signals,சிக்னல்களை
2667,organization,அமைப்பு
2668,requiring,தேவைப்படும்
2669,conflict,மோதல்
2670,dynamic,மாறும்
2671,concluded,முடித்தார்
2672,title,தலைப்பு
2673,divided,பிரிக்கப்பட்டுள்ளது
2674,eliminate,அகற்ற
2675,definition,வரையறை
2676,imposed,திணிக்கப்பட்ட
2677,extend,நீட்டிக்க
2678,island,தீவின்
2679,meant,பொருள்
2680,lake,ஏரி
2681,formation,உருவாக்கம்
2682,consideration,கருத்தில்
2683,korean,கொரியன்
2684,miller,மில்லர்
2685,gasoline,பெட்ரோல்
2686,circuit,சுற்று
2687,evening,சாயங்காலம்
2688,sessions,அமர்வுகள்
2689,otherwise,இல்லையெனில்
2690,sensitive,முக்கிய
2691,prompted,தூண்டியது
2692,sections,பிரிவுகள்
2693,winning,வென்ற
2694,brothers,சகோதரர்கள்
2695,jail,சிறையில்
2696,insurance,காப்பீடு
2697,jewish,யூத
2698,products,பொருட்கள்
2699,grown,வளர்ந்த
2700,attempts,முயற்சிகள்
2701,suppliers,சப்ளையர்கள்
2702,shipped,அனுப்பப்பட்டது
2703,leaves,இலைகள்
2704,criticized,விமர்சித்தார்
2705,occupied,ஆக்கிரமிக்கப்பட்ட
2706,depends,பொறுத்தது
2707,decades,பல தசாப்தங்களாக
2708,convention,மாநாடு
2709,specify,குறிப்பிடவும்
2710,social,சமூக
2711,speculation,ஊகம்
2712,requested,கோரிய
2713,essential,அத்தியாவசிய
2714,professor,பேராசிரியர்
2715,elsewhere,வேறு
2716,jet,ஜெட்
2717,administrative,நிர்வாக
2718,imaging,இமேஜிங்
2719,counts,எண்ணிக்கைகள்
2720,follows,பின்வருமாறு
2721,catholic,கத்தோலிக்க
2722,helps,உதவுகிறது
2723,specifications,குறிப்புகள்
2724,fly,ஈ
2725,announce,அறிவிக்க
2726,resource,வள
2727,turning,திருப்பு
2728,pushed,தள்ளி
2729,is,இருக்கிறது
2730,drexel,ட்ரெக்சல்
2731,apparent,வெளிப்படையான
2732,newly,புதிதாக
2733,shape,வடிவம்
2734,warning,எச்சரிக்கை
2735,arabia,அரேபியா
2736,lawmakers,சட்டமியற்றுபவர்கள்
2737,goals,இலக்குகளை
2738,davis,டேவிஸ்
2739,electrical,மின்
2740,rock,ராக்
2741,filled,பூர்த்தி
2742,seriously,தீவிரமாக
2743,advice,ஆலோசனை
2744,iranian,ஈரானிய
2745,la,லா
2746,scientific,அறிவியல்
2747,agriculture,விவசாயம்
2748,segment,பிரிவில்
2749,peak,உச்ச
2750,channel,சேனல்
2751,edward,எட்வர்ட்
2752,reportedly,கூறப்படுகிறது
2753,democracy,ஜனநாயகம்
2754,accord,அக்கார்டு
2755,economists,பொருளாதார
2756,jack,ஜாக்
2757,category,வகை
2758,prospects,வாய்ப்புக்கள்
2759,default,இயல்புநிலை
2760,chief,தலைமை
2761,adobe,அடோப்
2762,auction,ஏலம்
2763,fbi,FBI
2764,medical,மருத்துவம்
2765,suspended,இடைநீக்கம்
2766,stood,நின்று
2767,maintained,பராமரிக்கப்படுகிறது
2768,stability,ஸ்திரத்தன்மை
2769,blocks,தொகுதிகள்
2770,creation,உருவாக்கம்
2771,widespread,பரவலாக
2772,reasonable,நியாயமான
2773,locations,இடங்களில்
2774,association,சங்கம்
2775,saddam,சதாம்
2776,connect,இணைக்க
2777,microsystems,மைக்ரோசிஸ்டம்ஸ்
2778,specified,குறிப்பிட்ட
2779,blacks,கறுப்பர்கள்
2780,considerable,கணிசமான
2781,branch,கிளை
2782,young,இளம்
2783,environmental,சுற்றுச்சூழல்
2784,bodies,உடல்கள்
2785,ties,உறவுகளை
2786,enables,செயல்படுத்துகிறது
2787,conduct,நடத்தை
2788,remember,நினைவில்
2789,acknowledged,ஒப்புக்
2790,disaster,பேரழிவு
2791,respond,பதிலளிக்க
2792,grand,பெரும்
2793,benchmark,கோல்களாக
2794,proper,சரியான
2795,shooting,படப்பிடிப்பு
2796,indicates,குறிக்கிறது
2797,description,விளக்கம்
2798,lynch,லிஞ்ச்
2799,availability,கிடைக்கும்
2800,voting,வாக்களிக்கும்
2801,pieces,துண்டுகள்
2802,rapid,விரைவான
2803,upper,மேல்
2804,abortion,கருக்கலைப்பு
2805,concentration,செறிவு
2806,connections,இணைப்புகளை
2807,consumption,நுகர்வு
2808,swiss,சுவிஸ்
2809,introduce,அறிமுகப்படுத்த
2810,va,VA
2811,tour,சுற்றுப்பயணம்
2812,mainframes,மெயின்பிரேம்களில்
2813,case,வழக்கு
2814,annually,ஆண்டுதோறும்
2815,virtual,மெய்நிகர்
2816,damages,சேதம்
2817,laptop,மடிக்கணினி
2818,struck,தாக்கியது
2819,fallen,விழுந்த
2820,density,அடர்த்தி
2821,ownership,உரிமையை
2822,wage,ஊதிய
2823,deaths,மரணங்கள்
2824,portfolio,தொகுப்பு
2825,organized,ஏற்பாடு
2826,guide,வழிகாட்டும்
2827,democrat,ஜனநாயக
2828,massive,பாரிய
2829,logic,தர்க்கம்
2830,broken,உடைந்த
2831,why,ஏன்
2832,is,இருக்கிறது
2833,player,ஆட்டக்காரர்
2834,channels,சேனல்கள்
2835,variable,மாறி
2836,flights,விமானங்களை
2837,electricity,மின்சாரம்
2838,practices,நடைமுறைகள்
2839,winter,குளிர்காலத்தில்
2840,practical,நடைமுறை
2841,criticism,திறனாய்வு
2842,promise,வாக்குறுதி
2843,michigan,மிச்சிகன்
2844,cad,கேட்
2845,frequency,அதிர்வெண்
2846,beam,பீம்
2847,sees,காண்கிறது
2848,1970s,1970
2849,wilson,வில்சன்
2850,kids,குழந்தைகள்
2851,encourage,ஊக்குவிக்க
2852,flexible,நெகிழ்வான
2853,motorola,மோட்டோரோலா
2854,sir,ஐயா
2855,barrels,பீப்பாய்கள்
2856,louis,லூயிஸ்
2857,granted,வழங்கப்பட்ட
2858,invasion,படையெடுப்பு
2859,offset,ஆப்செட்
2860,solve,தீர்க்க
2861,displayed,காட்டப்படும்
2862,impossible,சாத்தியமற்றது
2863,discussions,விவாதங்கள்
2864,designs,வடிவமைப்புகளை
2865,marked,குறிக்கப்பட்ட
2866,relational,தொடர்புடைய
2867,nice,நல்ல
2868,frame,சட்ட
2869,awarded,வழங்கப்பட்டது
2870,explain,விளக்க
2871,carriers,கேரியர்கள்
2872,kansas,கன்சாஸ்
2873,ships,கப்பல்கள்
2874,college,கல்லூரி
2875,director,இயக்குனர்
2876,simultaneously,ஒரே நேரத்தில்
2877,partnership,கூட்டு
2878,black,கருப்பு
2879,ring,மோதிரம்
2880,climbed,ஏறினான்
2881,protests,ஆர்ப்பாட்டங்கள்
2882,worry,கவலைப்பட
2883,films,படங்களில்
2884,tender,ஒப்பந்தம்
2885,philadelphia,பிலடெல்பியா
2886,el,எல்
2887,interactive,ஊடாடும்
2888,hoped,நம்பிக்கை
2889,modest,சாதாரண
2890,religious,மத
2891,hospitals,மருத்துவமனைகளில்
2892,picked,எடுத்தார்கள்
2893,any,எந்த
2894,conference,மாநாட்டில்
2895,fresh,புதிய
2896,obvious,வெளிப்படையான
2897,native,சொந்த
2898,attached,இணைக்கப்பட்ட
2899,matters,விஷயங்களில்
2900,microprocessor,நுண்செயலி
2901,evaluated,மதிப்பீடு
2902,die,இறக்க
2903,stands,அரங்கத்தில்
2904,acres,ஏக்கர்
2905,oil,எண்ணெய்
2906,hostages,பிணைக்கைதிகள்
2907,osi,OSI
2908,attributed,காரணம்
2909,ncr,NCR
2910,file,கோப்பு
2911,targets,இலக்குகளை
2912,allegedly,கூறப்படும்
2913,specifically,குறிப்பாக
2914,electron,எலக்ட்ரான்
2915,week,வாரம்
2916,appearance,தோற்றம்
2917,m,மீ
2918,arrest,கைது
2919,recognition,அங்கீகாரம்
2920,holiday,விடுமுறை
2921,acquisitions,கையகப்படுத்துதல்
2922,criteria,அடிப்படை
2923,focused,கவனம்
2924,batch,தொகுதி
2925,courts,நீதிமன்றங்கள்
2926,graphic,கிராபிக்
2927,brother,சகோதரன்
2928,thin,மெல்லிய
2929,rich,பணக்கார
2930,expense,இழப்பில்
2931,medium,நடுத்தர
2932,sufficient,போதுமான
2933,wish,விரும்புகிறேன்
2934,sentenced,தண்டனை
2935,formula,சூத்திரம்
2936,permanent,நிரந்தர
2937,beach,கடற்கரை
2938,beat,அடிக்க
2939,shipments,போக்குவரத்துக்காக
2940,admitted,அனுமதிக்கப்பட்டார்
2941,boy,சிறுவன்
2942,facing,எதிர்கொள்ளும்
2943,formerly,முன்னர்
2944,stress,மன அழுத்தம்
2945,irs,IRS
2946,camp,முகாமில்
2947,item,உருப்படியை
2948,ratings,மதிப்பீடுகள்
2949,valued,மதிப்பு
2950,skills,திறன்கள்
2951,afford,வாங்க
2952,blue,நீல
2953,iv,ஈ
2954,retirement,ஓய்வு
2955,investigators,விசாரணை
2956,guarantee,உத்தரவாதம்
2957,lived,வாழ்ந்த
2958,trucks,லாரிகள்
2959,married,திருமணம்
2960,improving,மேம்படுத்த
2961,risks,அபாயங்கள்
2962,experienced,அனுபவம்
2963,damaged,சேதமடைந்த
2964,modified,மாற்றம்
2965,supposed,வேண்டும்
2966,unisys,யூனிஸிஸ்
2967,contributed,பங்களிப்பு
2968,journal,பத்திரிகை
2969,fort,கோட்டை
2970,profitable,இலாபகரமான
2971,island,தீவின்
2972,argument,வாதம்
2973,functionality,செயல்பாடு
2974,supplied,வழங்கப்பட்ட
2975,stronger,வலுவான
2976,describe,விவரிக்க
2977,carolina,கேரோலினா
2978,checks,காசோலைகளை
2979,life,வாழ்க்கை
2980,entirely,முற்றிலும்
2981,registered,பதிவு
2982,parliament,பாராளுமன்றத்தில்
2983,complaints,புகார்கள்
2984,over,மீது
2985,park,பூங்கா
2986,competing,போட்டியிடும்
2987,cross,கடந்து
2988,examples,உதாரணங்கள்
2989,shearson,செர்சனின்
2990,eye,கண்
2991,modems,மோடம்கள்
2992,destroyed,அழித்து
2993,minute,நிமிடம்
2994,grain,தானிய
2995,clara,கிளாரா
2996,speak,பேசு
2997,feeling,உணர்வு
2998,tree,மரம்
2999,mentioned,குறிப்பிட்டுள்ள
3000,exercise,உடற்பயிற்சி
3001,next,அடுத்த
3002,adequate,போதுமான
3003,motor,மோட்டார்
3004,delayed,தாமதமாக
3005,excel,எக்சல்
3006,pact,உடன்படிக்கை
3007,monetary,பண
3008,hired,பணியமர்த்தப்பட்டார்
3009,fish,மீன்
3010,fla,FLA
3011,plc,பிஎல்சி
3012,publisher,வெளியீட்டாளர்
3013,gross,மொத்த
3014,findings,கண்டுபிடிப்புகள்
3015,representative,பிரதிநிதி
3016,executive,நிர்வாகி
3017,reflected,பிரதிபலித்தது
3018,plays,நாடகங்களை
3019,thinks,நினைக்கிறார்
3020,constant,நிலையான
3021,pilots,விமானிகள்
3022,corn,சோளம்
3023,numerous,பல
3024,compromise,சமரசம்
3025,shareholder,பங்குதாரர்
3026,architecture,கட்டிடக்கலை
3027,savings,சேமிப்பு
3028,custom,விருப்ப
3029,premium,பிரீமியம்
3030,alliance,கூட்டணி
3031,execution,மரணதண்டனை
3032,secondary,இரண்டாம்
3033,surplus,உபரி
3034,intends,உத்தேசித்திருப்பதாகவும்
3035,surprise,ஆச்சரியம்
3036,experiment,சோதனை
3037,interface,இடைமுகம்
3038,shop,கடை
3039,attorneys,வழக்கறிஞர்கள்
3040,index,குறியீட்டு
3041,sanctions,தடைகள்
3042,regions,பகுதிகளில்
3043,membership,உறுப்பினர்
3044,presents,பரிசுகளை
3045,roughly,சுமார்
3046,authorized,அங்கீகாரம்
3047,soft,மென்மையான
3048,pair,ஜோடி
3049,cooperation,ஒத்துழைப்பு
3050,rated,மதிப்பிட்டவை
3051,others,மற்றவர்கள்
3052,stories,கதைகள்
3053,douglas,டக்ளஸ்
3054,steve,ஸ்டீவ்
3055,zone,மண்டலம்
3056,assigned,ஒதுக்கப்படும்
3057,pulled,இழுத்து
3058,adviser,ஆலோசகர்
3059,founded,நிறுவப்பட்டது
3060,harris,ஹாரிஸ்
3061,distance,தூரம்
3062,weekly,வாராந்திர
3063,asset,சொத்து
3064,departments,துறைகள்
3065,publicly,பகிரங்கமாக
3066,isdn,ஐ.எஸ்.டி.என்
3067,reliability,நம்பகத்தன்மை
3068,testified,சாட்சியம்
3069,class,வர்க்கம்
3070,trees,மரங்கள்
3071,gap,இடைவெளி
3072,shuttle,விண்கலம்
3073,alan,ஆலன்
3074,fundamental,அடிப்படை
3075,critics,விமர்சகர்கள்
3076,university,பல்கலைக்கழக
3077,mike,மைக்
3078,speeds,வேகம்
3079,continental,கண்ட
3080,moderate,மிதமான
3081,regarding,தொடர்பாக
3082,saved,சேமிக்கப்படும்
3083,tied,கட்டி
3084,band,இசைக்குழு
3085,jump,குதி
3086,kill,கொல்ல
3087,ethnic,இன
3088,mail,மெயில்
3089,deposits,வைப்பு
3090,wheat,கோதுமை
3091,explosion,வெடிப்பு
3092,simulation,உருவகப்படுத்துதல்
3093,replacement,மாற்று
3094,involve,உள்ளடக்கியது
3095,plasma,பிளாஸ்மா
3096,drawn,வரையப்பட்ட
3097,nations,நாடுகள்
3098,lots,நிறைய
3099,ascii,ஆஸ்கியாக
3100,arm,கை
3101,covers,கவர்கள்
3102,participants,பங்கேற்பாளர்கள்
3103,leads,தடங்கள்
3104,iowa,அயோவா
3105,seized,பறிமுதல்
3106,associated,தொடர்புடைய
3107,quayle,குவாலை
3108,laboratory,ஆய்வக
3109,adjusted,சரிசெய்யப்பட்ட
3110,finance,நிதி
3111,loaded,ஏற்றப்படும்
3112,master,மாஸ்டர்
3113,georgia,ஜோர்ஜியா
3114,surprised,ஆச்சரியம்
3115,mountain,மலை
3116,slipped,நழுவியது
3117,desk,மேசை
3118,emphasis,வலியுறுத்தல்
3119,sports,விளையாட்டு
3120,driven,இயக்கப்படும்
3121,coup,ஆட்சிக்கவிழ்ப்பு
3122,mikhail,மிகைல்
3123,glass,கண்ணாடி
3124,puts,உள்ளீடுகள்
3125,quarterly,காலாண்டு
3126,properly,ஒழுங்காக
3127,berlin,பெர்லின்
3128,unfortunately,எதிர்பாராதவிதமாக
3129,politicians,அரசியல்வாதிகள்
3130,row,வரிசையில்
3131,market,சந்தை
3132,attended,கலந்து
3133,food,உணவு
3134,priority,முன்னுரிமை
3135,sheet,தாள்
3136,gun,துப்பாக்கி
3137,shut,மூடப்பட்டன
3138,assessment,மதிப்பீடு
3139,negotiating,பேச்சுவார்த்தை
3140,kinds,வகையான
3141,towards,நோக்கி
3142,accurate,துல்லியமான
3143,aggressive,ஆக்கிரமிப்பு
3144,invest,முதலீடு
3145,donald,டொனால்ட்
3146,super,சூப்பர்
3147,apartment,அபார்ட்மெண்ட்
3148,solar,சூரிய
3149,gop,GOP
3150,creates,உருவாக்குகிறது
3151,publication,பதிப்பகம்
3152,patient,நோயாளி
3153,teams,அணிகள்
3154,comprehensive,விரிவான
3155,worried,கவலை
3156,operated,இயக்கப்படும்
3157,recognize,அடையாளம் கண்டு கொள்
3158,capture,பிடிப்பு
3159,latter,பிந்தைய
3160,protected,பாதுகாக்கப்படுவதால்
3161,directed,இயக்கிய
3162,labs,ஆய்வகங்கள்
3163,cast,நடிக்க
3164,asia,ஆசியா
3165,instruction,அறிவுறுத்தல்
3166,concerning,பற்றி
3167,delegates,பிரதிநிதிகள்
3168,categories,பிரிவுகள்
3169,manhattan,மன்ஹட்டன்
3170,n,N
3171,royal,அரச
3172,arguments,வாதங்கள்
3173,collapse,சரிவு
3174,demanded,கோரினார்
3175,faced,எதிர்
3176,promote,ஊக்குவிக்க
3177,teachers,ஆசிரியர்கள்
3178,contributions,பங்களிப்புகளை
3179,access,அணுகல்
3180,algorithm,வழிமுறை
3181,pennsylvania,பென்சில்வேனியா
3182,animals,விலங்குகள்
3183,coast,கடற்கரையில்
3184,succeed,வெற்றி
3185,chart,விளக்கப்படம்
3186,complained,புகார்
3187,standing,நின்று
3188,sea,கடல்
3189,demonstration,ஆர்ப்பாட்டம்
3190,predict,கணிக்க
3191,repair,பழுது
3192,five-year,ஐந்தாண்டு
3193,substantially,கணிசமாக
3194,worker,தொழிலாளி
3195,compensation,இழப்பீடு
3196,holdings,பங்குகளை
3197,equipment,உபகரணங்கள்
3198,metals,உலோகங்கள்
3199,industrial,தொழில்துறை
3200,acid,அமிலம்
3201,codes,குறியீடுகள்
3202,investigating,விசாரணை
3203,economic,பொருளாதார
3204,as,போன்ற
3205,reflects,பிரதிபலிக்கிறது
3206,successfully,வெற்றிகரமாக
3207,germans,ஜெர்மானியர்கள்
3208,restaurant,உணவகம்
3209,county,கவுண்டி
3210,revealed,வெளிப்படுத்தினார்
3211,engineer,பொறியாளர்
3212,motors,மோட்டார்கள்
3213,danger,ஆபத்து
3214,box,பெட்டியில்
3215,zero,பூஜ்யம்
3216,beijing,பெய்ஜிங்
3217,civilian,சிவிலியன்
3218,pictures,படங்கள்
3219,employers,முதலாளிகள்
3220,dry,உலர்ந்த
3221,brokers,தரகர்கள்
3222,merely,வெறுமனே
3223,happens,நடக்கும்
3224,brokerage,தரகு
3225,industrials,தொழில் நிறுவனங்கள்
3226,reality,உண்மையில்
3227,nec,NEC தள
3228,determination,உறுதியை
3229,causing,இதனால்
3230,five,ஐந்து
3231,demanding,கோரி
3232,attacked,தாக்கி
3233,declines,வீழ்ச்சிகள்
3234,nomination,பரிந்துரையை
3235,toronto,டொராண்டோ
3236,latin,லத்தீன்
3237,snow,பனி
3238,or,அல்லது
3239,brings,கொண்டு
3240,attend,கலந்து
3241,mutual,பரஸ்பர
3242,steady,நிலையான
3243,prosecutors,வழக்கறிஞர்கள்
3244,slower,மெதுவாக
3245,narrow,குறுகிய
3246,dan,டான்
3247,lending,கடன்
3248,presentation,வழங்கல்
3249,contents,உள்ளடக்கங்களை
3250,entering,நுழையும்
3251,handled,கையாளப்படுகிறது
3252,measurement,அளவீடு
3253,brazil,பிரேசில்
3254,supplier,சப்ளையர்
3255,connectivity,இணைப்பு
3256,colorado,கொலராடோ
3257,lehman,லேமன்
3258,proceeds,வருமானத்தை
3259,passenger,பயணிகள்
3260,argue,வாதிடுகின்றனர்
3261,violations,மீறல்கள்
3262,equipped,ஆயுதம்
3263,telling,சொல்லி
3264,promises,வாக்குறுதிகளை
3265,crucial,முக்கியமான
3266,comparable,ஒப்பிடக்கூடிய
3267,pan,பான்
3268,reliable,நம்பகமான
3269,mayor,மேயர்
3270,protesters,எதிர்ப்பாளர்களை
3271,turns,திருப்பங்களை
3272,derived,பெறப்பட்ட
3273,engines,இயந்திரங்கள்
3274,sharing,பகிர்ந்து
3275,salomon,சாலமன்
3276,patterns,வடிவங்கள்
3277,society,சமூகத்தின்
3278,involvement,ஈடுபாடு
3279,duty,கடமை
3280,expanding,விரிவடைந்து
3281,emulation,முன்மாதிரி
3282,girl,பெண்
3283,reputation,புகழ்
3284,province,மாகாணத்தில்
3285,investors,முதலீட்டாளர்கள்
3286,switching,மாற்றம்
3287,cellular,செல்லுலார்
3288,territory,பிரதேசத்தில்
3289,settle,குடியேற
3290,chose,தேர்வு
3291,lewis,லூயிஸ்
3292,stated,கூறினார்
3293,columns,பத்திகள்
3294,seeing,பார்த்து
3295,diego,டியாகோ
3296,barrel,பீப்பாய்
3297,eyes,கண்கள்
3298,addresses,முகவரிகள்
3299,writer,எழுத்தாளர்
3300,species,இனங்கள்
3301,green,பச்சை
3302,polls,தேர்தலில்
3303,marketplace,சந்தையில்
3304,difficulties,சிரமங்களை
3305,republic,குடியரசு
3306,total,மொத்த
3307,foundation,அடித்தளம்
3308,howard,ஹோவர்ட்
3309,rare,அரிய
3310,manner,முறையில்
3311,interaction,தொடர்பு
3312,professional,தொழில்முறை
3313,bankers,வங்கியாளர்கள்
3314,cfr,சிஎப்ஆர்
3315,sizes,அளவுகள்
3316,nasa,நாசா
3317,dose,அளவு பழக்கமே
3318,shell,ஓடு
3319,scott,ஸ்காட்
3320,shopping,ஷாப்பிங்
3321,imported,இறக்குமதி
3322,spain,ஸ்பெயின்
3323,exchanges,பரிமாற்றங்கள்
3324,withdrawal,திரும்ப
3325,purchasing,வாங்கும்
3326,marine,கடல்
3327,resellers,மறுவிற்பனையாளர்களுக்கு
3328,junk,குப்பை
3329,your,உங்கள்
3330,village,கிராமம்
3331,convert,மாற்ற
3332,administrator,நிர்வாகி
3333,offerings,பிரசாதம்
3334,permits,அனுமதி
3335,australian,ஆஸ்திரேலிய
3336,pushing,தள்ளி
3337,addressed,உரையாற்றினார்
3338,participate,பங்கேற்க
3339,relationships,உறவுகள்
3340,writes,எழுதுகிறார்
3341,demonstrate,நிரூபிக்க
3342,telephone,தொலைபேசி
3343,asian,ஆசிய
3344,false,தவறான
3345,matrix,அணி
3346,automated,தானியங்கி
3347,fifth,ஐந்தாவது
3348,counsel,ஆலோசனையை
3349,projected,திட்டமிட்டுள்ளது
3350,complicated,சிக்கலான
3351,reductions,குறைப்பு
3352,excess,அதிகப்படியான
3353,plo,PLO
3354,drug,மருந்து
3355,prisoners,கைதிகள்
3356,viewed,பார்க்கப்படும்
3357,missile,ஏவுகணை
3358,buffer,தாங்கல்
3359,average,சராசரி
3360,diplomatic,தூதரக
3361,pool,குளம்
3362,retain,தக்கவைத்து
3363,fda,FDA
3364,principle,கொள்கை
3365,healthy,ஆரோக்கியமான
3366,depend,சார்ந்தது
3367,1990s,1990
3368,restore,மீட்க
3369,assume,கருதுவது
3370,modes,முறைகள்
3371,guard,பாதுகாப்பு
3372,retailers,சில்லறை விற்பனையாளர்கள்
3373,roman,ரோமன்
3374,communicate,தொடர்பு
3375,complaint,புகார்
3376,suitable,பொருத்தமான
3377,witnesses,சாட்சிகள்
3378,penalty,பெனால்டி
3379,league,லீக்
3380,troubled,பதற்றமான
3381,spanish,ஸ்பானிஷ்
3382,post,பதவியை
3383,outlook,கண்ணோட்டம்
3384,circumstances,சூழ்நிலைகளில்
3385,slot,ஸ்லாட்
3386,allies,கூட்டாளிகள்
3387,employed,வேலைவாய்ப்பு உடைய
3388,inspection,ஆய்வு
3389,map,வரைபடம்
3390,returning,திரும்பிய
